geometry	hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
	TACGRP.C2GM.DEF.PNT	G	*	G	*	DP----	POINTS	N/A
POINT	TACGRP.C2GM.DEF.PNT.TGTREF	G	*	G	*	DPT---	TARGET REFERENCE POINT (TRP)	
POINT	TACGRP.C2GM.DEF.PNT.OBSPST	G	*	G	*	DPO---	OBSERVATION POST/OUTPOST	
POINT	TACGRP.C2GM.DEF.PNT.OBSPST.CBTPST	G	*	G	*	DPOC--	COMBAT OUTPOST	
POINT	TACGRP.C2GM.DEF.PNT.OBSPST.RECON	G	*	G	*	DPOR--	OBSERVATION POST OCCUPIED BY DISMOUNTED SCOUTS OR RECONNAISSANCE	
POINT	TACGRP.C2GM.DEF.PNT.OBSPST.FWDOP	G	*	G	*	DPOF--	FORWARD OBSERVER POSITION	
POINT	TACGRP.C2GM.DEF.PNT.OBSPST.SOP	G	*	G	*	DPOS--	SENSOR OUTPOST/LISTENING POST (OP/LP)	
POINT	TACGRP.C2GM.DEF.PNT.OBSPST.CBRNOP	G	*	G	*	DPON--	CBRN OBSERVATION POST (DISMOUNTED)	
	TACGRP.C2GM.DEF.LNE	G	*	G	*	DL----	LINES	N/A
LINE	TACGRP.C2GM.DEF.LNE.FEBA	G	*	G	*	DLF---	FORWARD EDGE OF BATTLE AREA (FEBA)	
LINE	TACGRP.C2GM.DEF.LNE.PDF	G	*	G	*	DLP---	PRINCIPAL DIRECTION OF FIRE (PDF)	
	TACGRP.C2GM.DEF.ARS	G	*	G	*	DA----	AREAS	N/A
POLYGON	TACGRP.C2GM.DEF.ARS.BTLPSN	G	*	G	*	DAB---	BATTLE POSITION	
POLYGON	TACGRP.C2GM.DEF.ARS.BTLPSN.PBNO	G	*	G	*	DABP--	PREPARED BUT NOT OCCUPIED	
POLYGON	TACGRP.C2GM.DEF.ARS.EMTARA	G	*	G	*	DAE---	ENGAGEMENT AREA	
	TACGRP.C2GM.OFF	G	*	G	*	O-----	OFFENSE	N/A
	TACGRP.C2GM.OFF.PNT	G	*	G	*	OP----	POINTS	N/A
POINT	TACGRP.C2GM.OFF.PNT.PNTD	G	*	G	*	OPP---	POINT OF DEPARTURE	
	TACGRP.C2GM.OFF.LNE	G	*	G	*	OL----	LINES	N/A
LINE	TACGRP.C2GM.OFF.LNE.AXSADV	G	*	G	*	OLA---	AXIS OF ADVANCE	N/A
LINE	TACGRP.C2GM.OFF.LNE.AXSADV.AVN	G	*	G	*	OLAV--	AVIATION	
LINE	TACGRP.C2GM.OFF.LNE.AXSADV.ABN	G	*	G	*	OLAA--	AIRBORNE	
LINE	TACGRP.C2GM.OFF.LNE.AXSADV.ATK	G	*	G	*	OLAR--	ATTACK, ROTARY WING	
	TACGRP.C2GM.OFF.LNE.AXSADV.GRD	G	*	G	*	OLAG--	GROUND	N/A
LINE	TACGRP.C2GM.OFF.LNE.AXSADV.GRD.MANATK	G	*	G	*	OLAGM-	MAIN ATTACK	
LINE	TACGRP.C2GM.OFF.LNE.AXSADV.GRD.SUPATK	G	*	G	*	OLAGS-	SUPPORTING ATTACK	
	TACGRP.C2GM.OFF.LNE.DIRATK	G	*	G	*	OLK---	DIRECTION OF ATTACK	N/A
LINE	TACGRP.C2GM.OFF.LNE.DIRATK.AVN	G	*	G	*	OLKA--	AVIATION	
	TACGRP.C2GM.OFF.LNE.DIRATK.GRD	G	*	G	*	OLKG--	GROUND	N/A
LINE	TACGRP.C2GM.OFF.LNE.DIRATK.GRD.MANATK	G	*	G	*	OLKGM-	MAIN ATTACK	
LINE	TACGRP.C2GM.OFF.LNE.DIRATK.GRD.SUPATK	G	*	G	*	OLKGS-	SUPPORTING ATTACK	
LINE	TACGRP.C2GM.OFF.LNE.FCL	G	*	G	*	OLF---	FINAL COORDINATION LINE	
LINE	TACGRP.C2GM.OFF.LNE.INFNLE	G	*	G	*	OLI---	INFILTRATION LANE	
LINE	TACGRP.C2GM.OFF.LNE.LMTADV	G	*	G	*	OLL---	LIMIT OF ADVANCE	
LINE	TACGRP.C2GM.OFF.LNE.LD	G	*	G	*	OLT---	LINE OF DEPARTURE	
LINE	TACGRP.C2GM.OFF.LNE.LDLC	G	*	G	*	OLC---	LINE OF DEPARTURE/LINE OF CONTACT (LD/LC)	
LINE	TACGRP.C2GM.OFF.LNE.PLD	G	*	G	*	OLP---	PROBABLE LINE OF DEPLOYMENT (PLD)	
	TACGRP.C2GM.OFF.ARS	G	*	G	*	OA----	AREAS	N/A
POLYGON	TACGRP.C2GM.OFF.ARS.ASTPSN	G	*	G	*	OAA---	ASSAULT POSITION	
POLYGON	TACGRP.C2GM.OFF.ARS.ATKPSN	G	*	G	*	OAK---	ATTACK POSITION	
MULTIPOINT	TACGRP.C2GM.OFF.ARS.AFP	G	*	G	*	OAF---	ATTACK BY FIRE POSITION	
MULTIPOINT	TACGRP.C2GM.OFF.ARS.SFP	G	*	G	*	OAS---	SUPPORT BY FIRE POSITION	
POLYGON	TACGRP.C2GM.OFF.ARS.OBJ	G	*	G	*	OAO---	OBJECTIVE	
POLYGON	TACGRP.C2GM.OFF.ARS.PBX	G	*	G	*	OAP---	PENETRATION BOX	
	TACGRP.C2GM.SPL	G	*	G	*	S-----	SPECIAL	N/A
	TACGRP.C2GM.SPL.LNE	G	*	G	*	SL----	LINE	N/A
MULTIPOINT	TACGRP.C2GM.SPL.LNE.AMB	G	*	G	*	SLA---	AMBUSH	
MULTIPOINT	TACGRP.C2GM.SPL.LNE.HGL	G	*	G	*	SLH---	HOLDING LINE	
LINE	TACGRP.C2GM.SPL.LNE.REL	G	*	G	*	SLR---	RELEASE LINE	
MULTIPOINT	TACGRP.C2GM.SPL.LNE.BRGH	G	*	G	*	SLB---	BRIDGEHEAD	
	TACGRP.C2GM.SPL.ARA	G	*	G	*	SA----	AREA	N/A
POLYGON	TACGRP.C2GM.SPL.ARA.AOO	G	*	G	*	SAO---	AREA OF OPERATIONS (AO)	
POLYGON	TACGRP.C2GM.SPL.ARA.AHD	G	*	G	*	SAA---	AIRHEAD	
