hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
EMS.OPN.EMOPN.EMTM 	E	*	O	*	BJ----	EMERGENCY TEAM	
EMS.OPN.EMOPN.EWDC 	E	*	O	*	BK----	EMERGENCY WATER DISTRIBUTION CENTER	
EMS.OPN.EMOPN.FDDIST 	E	*	O	*	BL----	EMERGENCY FOOD DISTRIBUTION CENTER	
EMS.OPN.FIRFT 	E	*	O	*	C-----	FIRE FIGHTING OPERATION	
EMS.OPN.FIRFT.FIRFTU 	E	*	O	*	CA----	FIRE FIGHTING OPERATION UNIT	
EMS.OPN.FIRFT.FIRFTE 	E	*	O	*	CB----	FIRE FIGHTING OPERATION EQUIPMENT	
EMS.OPN.FIRFT.FIRHYD 	E	*	O	*	CC----	FIRE HYDRANT	
EMS.OPN.FIRFT.OTHH2O 	E	*	O	*	CD----	OTHER WATER SUPPLY LOCATION	
EMS.OPN.FIRFT.FIRSTN 	E	*	O	*	CE----	FIRE STATION	
EMS.OPN.LAWENF 	E	*	O	*	D-----	LAW ENFORCEMENT OPERATION	
