hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
GRDTRK.UNT.CS.SIGUNT.RDOUNT 	S	*	G	*	UUSR--	RADIO UNIT	
GRDTRK.UNT.CS.SIGUNT.RDOUNT.TACSAT 	S	*	G	*	UUSRS-	TACTICAL SATELLITE	
GRDTRK.UNT.CS.SIGUNT.RDOUNT.TTYCTR 	S	*	G	*	UUSRT-	TELETYPE CENTER	
GRDTRK.UNT.CS.SIGUNT.RDOUNT.RLY 	S	*	G	*	UUSRW-	RELAY	
GRDTRK.UNT.CS.SIGUNT.SIGSUP 	S	*	G	*	UUSS--	SIGNAL SUPPORT	
GRDTRK.UNT.CS.SIGUNT.PHOSWT 	S	*	G	*	UUSW--	TELEPHONE SWITCH	
GRDTRK.UNT.CS.SIGUNT.ECRG 	S	*	G	*	UUSX--	ELECTRONIC RANGING	
GRDTRK.UNT.CS.IWU 	S	*	G	*	UUI---	INFORMATION WARFARE UNIT	
GRDTRK.UNT.CS.LNDSUP 	S	*	G	*	UUP---	LANDING SUPPORT	
GRDTRK.UNT.CS.EOD 	S	*	G	*	UUE---	EXPLOSIVE ORDNANCE DISPOSAL	
GRDTRK.UNT.CSS 	S	*	G	*	US----	COMBAT SERVICE SUPPORT	
GRDTRK.UNT.CSS.ADMIN 	S	*	G	*	USA---	ADMINISTRATIVE (ADMIN)	
GRDTRK.UNT.CSS.ADMIN.THT 	S	*	G	*	USAT--	ADMIN THEATER	
GRDTRK.UNT.CSS.ADMIN.CRP 	S	*	G	*	USAC--	ADMIN CORPS	
GRDTRK.UNT.CSS.ADMIN.JAG 	S	*	G	*	USAJ--	JUDGE ADVOCATE GENERAL (JAG)	
GRDTRK.UNT.CSS.ADMIN.JAG.THT 	S	*	G	*	USAJT-	JAG THEATER	
